customer_id,district,age_group,current_package,monthly_data_usage_gb,youtube_usage_gb,social_usage_gb,voice_minutes,sms_usage,monthly_spend_lkr,reload_frequency,add_on_count,device_type,is_5g_supported,sim_type,router_owned,churn_risk_score,complaint_count,previous_offer_response,days_since_last_change,predicted_best_action,predicted_offer,accepted
C1000,Negombo,36-45,50GB,62.9,26.0,11.0,629,43,11554,19,8,Basic_Phone,0,5G,0,0.45,0,Ignored,374,Offer_New_Phone,Smartphone_Trade_In_Deal,1
C1001,Galle,26-35,10GB,103.6,52.2,12.2,144,493,4862,23,6,Basic_Phone,0,5G,1,0.15,3,Accepted,326,Buy_Social_Media_Package,Social_Boost_Pack,0
C1002,Colombo,46-60,50GB,88.6,52.4,24.9,659,140,1604,23,1,4G_Mobile,0,4G,0,0.92,1,Accepted,208,Buy_Social_Media_Package,Social_Unlimited_Add_On,0
C1003,Kandy,18-25,100GB,72.3,31.2,19.5,964,79,5100,7,6,Basic_Phone,0,5G,0,0.93,5,Ignored,18,Recommend_5G_Router,10Percent_Discount,0
C1004,Jaffna,36-45,20GB,87.7,24.0,19.9,1446,176,9179,8,0,5G_Mobile,1,5G,0,0.33,8,Accepted,494,Buy_Social_Media_Package,Social_Boost_Pack,1
C1005,Galle,46-60,10GB,106.2,29.7,30.5,1626,476,1196,5,0,4G_Mobile,0,4G,1,0.13,3,Accepted,483,Buy_Social_Media_Package,Social_Boost_Pack,1
C1006,Colombo,46-60,20GB,31.7,11.2,7.4,1448,266,10674,15,8,5G_Mobile,1,4G,1,0.46,2,Accepted,494,Upgrade_to_50GB,5GB_Bonus,0
C1007,Jaffna,36-45,20GB,32.7,16.4,6.4,1452,458,7623,1,2,Basic_Phone,0,4G,1,0.68,6,Accepted,370,Offer_New_Phone,Smartphone_Trade_In_Deal,1
C1008,Negombo,26-35,50GB,5.2,1.8,1.2,1711,410,11838,14,0,5G_Mobile,1,5G,0,0.15,0,Accepted,96,No_Action,No_Offer,0
C1009,Kurunegala,36-45,10GB,44.1,13.4,13.1,1495,487,5645,22,0,5G_Mobile,1,4G,1,0.43,8,Ignored,372,Buy_Social_Media_Package,Social_Boost_Pack,1
C1010,Matara,18-25,50GB,93.6,50.9,15.2,810,481,7635,12,1,Basic_Phone,0,5G,1,0.22,6,Ignored,429,Offer_New_Phone,Smartphone_Trade_In_Deal,1
C1011,Kurunegala,36-45,50GB,65.1,14.7,16.3,1625,209,9296,8,7,5G_Mobile,1,4G,1,0.95,8,Rejected,264,Upgrade_to_100GB,10GB_Bonus,0
C1012,Kurunegala,18-25,50GB,117.6,66.4,38.1,1725,126,5166,24,5,5G_Mobile,1,4G,1,0.74,4,Accepted,403,Buy_Social_Media_Package,Social_Unlimited_Add_On,1
C1013,Matara,46-60,100GB,17.5,10.0,6.6,246,115,4970,13,4,5G_Mobile,1,5G,0,0.59,8,Accepted,39,Retention_Offer,Service_Recovery_Pack,0
C1014,Galle,26-35,50GB,52.8,19.9,11.7,1703,496,2090,16,8,Basic_Phone,0,5G,0,0.95,1,Accepted,376,Upgrade_to_100GB,10GB_Bonus,0
C1015,Kandy,46-60,20GB,12.8,6.7,5.1,913,104,9248,6,0,Basic_Phone,0,4G,1,0.29,5,Rejected,474,Offer_New_Phone,Smartphone_Trade_In_Deal,0
C1016,Negombo,36-45,10GB,90.0,49.2,18.4,428,104,7719,21,4,5G_Mobile,1,5G,1,0.08,6,Ignored,393,Buy_Social_Media_Package,Social_Boost_Pack,0
C1017,Colombo,18-25,20GB,60.2,24.0,23.3,892,85,692,8,9,5G_Mobile,1,5G,1,0.26,1,Accepted,277,Buy_Social_Media_Package,Social_Boost_Pack,1
C1018,Colombo,26-35,10GB,24.7,7.6,3.3,872,264,6271,15,3,4G_Mobile,0,5G,1,0.01,0,Rejected,252,Upgrade_to_20GB,Data_Saver_Pack,1
C1019,Negombo,18-25,50GB,92.8,46.3,35.9,987,190,3418,22,7,Basic_Phone,0,5G,0,0.66,2,Accepted,297,Buy_Social_Media_Package,Social_Unlimited_Add_On,1
C1020,Colombo,36-45,20GB,27.4,9.9,9.1,1510,267,11791,21,4,Basic_Phone,0,5G,1,0.89,4,Ignored,461,Offer_New_Phone,Smartphone_Trade_In_Deal,1
C1021,Colombo,36-45,100GB,43.4,22.5,12.2,695,30,4202,3,3,5G_Mobile,1,5G,1,0.27,0,Ignored,140,No_Action,No_Offer,1
C1022,Negombo,46-60,50GB,42.3,21.6,5.6,263,451,5582,23,5,Basic_Phone,0,5G,0,0.67,4,Rejected,193,Retention_Offer,Service_Recovery_Pack,0
C1023,Kandy,46-60,10GB,61.3,36.5,17.3,930,386,6214,14,6,5G_Mobile,1,5G,1,0.83,2,Accepted,176,Buy_Social_Media_Package,Social_Boost_Pack,0
C1024,Kurunegala,26-35,100GB,102.3,46.8,21.1,1824,279,10007,12,4,4G_Mobile,0,4G,1,0.69,8,Ignored,431,Offer_Voice_Pack,Unlimited_Local_Voice,0
C1025,Galle,36-45,20GB,110.3,36.0,22.5,1117,279,1224,4,2,4G_Mobile,0,5G,1,0.86,4,Ignored,65,Buy_Social_Media_Package,Social_Boost_Pack,1
C1026,Matara,26-35,20GB,69.2,18.2,18.2,67,119,9545,13,3,5G_Mobile,1,5G,1,0.65,8,Ignored,490,Buy_Social_Media_Package,Social_Boost_Pack,1
C1027,Matara,36-45,100GB,44.7,23.4,17.6,1009,400,8742,14,3,Basic_Phone,0,4G,0,0.06,1,Ignored,149,Offer_New_Phone,Smartphone_Trade_In_Deal,1
C1028,Matara,26-35,100GB,9.4,3.7,1.1,594,23,2870,1,5,Basic_Phone,0,5G,1,0.83,2,Ignored,437,Retention_Offer,20Percent_Loyalty_Discount,0
C1029,Negombo,46-60,50GB,115.6,45.3,18.0,250,209,3666,22,1,5G_Mobile,1,5G,0,0.69,5,Rejected,121,Upgrade_to_100GB,10GB_Bonus,1
C1030,Galle,36-45,50GB,100.3,53.5,30.9,1632,407,2742,5,6,Basic_Phone,0,5G,0,0.39,0,Ignored,34,Buy_Social_Media_Package,Social_Unlimited_Add_On,1
C1031,Kurunegala,18-25,10GB,64.5,15.5,7.8,1561,451,7341,3,6,4G_Mobile,0,5G,1,0.26,5,Accepted,487,Upgrade_to_20GB,Data_Saver_Pack,0
C1032,Kandy,46-60,50GB,83.9,21.1,24.9,1340,396,1766,20,5,Basic_Phone,0,4G,1,0.51,6,Ignored,259,Buy_Social_Media_Package,Social_Unlimited_Add_On,1
C1033,Kandy,36-45,20GB,59.1,32.1,7.3,868,193,5520,20,0,Basic_Phone,0,5G,1,0.68,0,Rejected,472,Upgrade_to_50GB,5GB_Bonus,1
C1034,Colombo,36-45,100GB,68.7,31.9,23.9,466,28,5868,2,1,5G_Mobile,1,5G,0,0.17,0,Accepted,72,Recommend_5G_Router,10Percent_Discount,1
C1035,Kurunegala,18-25,50GB,47.5,10.2,8.6,915,420,9970,17,8,Basic_Phone,0,5G,0,0.21,2,Accepted,357,Offer_New_Phone,Smartphone_Trade_In_Deal,0
C1036,Negombo,46-60,20GB,63.7,28.9,22.6,599,119,6956,13,2,Basic_Phone,0,5G,1,0.21,1,Ignored,117,Buy_Social_Media_Package,Social_Boost_Pack,1
C1037,Matara,18-25,20GB,90.8,27.9,27.6,1158,129,7166,22,5,Basic_Phone,0,4G,0,0.19,7,Ignored,474,Buy_Social_Media_Package,Social_Boost_Pack,1
C1038,Colombo,26-35,20GB,84.7,27.3,24.9,1386,232,4539,4,2,Basic_Phone,0,5G,1,0.13,6,Accepted,492,Buy_Social_Media_Package,Social_Boost_Pack,1
C1039,Kurunegala,26-35,100GB,25.8,5.7,4.6,665,458,11729,2,2,4G_Mobile,0,4G,1,0.12,5,Ignored,340,No_Action,No_Offer,0
C1040,Jaffna,36-45,10GB,35.2,13.7,4.3,1819,21,6642,10,10,5G_Mobile,1,4G,1,0.95,2,Rejected,305,Upgrade_to_20GB,Data_Saver_Pack,1
C1041,Kandy,18-25,50GB,114.1,31.2,14.6,1842,163,11917,22,7,5G_Mobile,1,4G,1,0.39,6,Accepted,468,Upgrade_to_100GB,10GB_Bonus,1
C1042,Kandy,36-45,50GB,10.2,4.4,2.6,524,27,11152,20,0,4G_Mobile,0,5G,1,0.69,4,Rejected,233,Retention_Offer,Service_Recovery_Pack,0
C1043,Jaffna,36-45,50GB,39.7,20.6,6.8,1516,252,10730,25,4,Basic_Phone,0,4G,0,0.5,4,Ignored,220,Offer_New_Phone,Smartphone_Trade_In_Deal,0
C1044,Kandy,18-25,20GB,68.6,22.3,16.5,1683,176,2829,13,1,4G_Mobile,0,4G,1,0.78,3,Ignored,90,Buy_Social_Media_Package,Social_Boost_Pack,1
C1045,Negombo,36-45,10GB,36.9,19.3,14.1,640,186,7724,9,10,4G_Mobile,0,5G,0,0.94,7,Ignored,184,Buy_Social_Media_Package,Social_Boost_Pack,0
C1046,Kurunegala,46-60,10GB,104.5,21.6,21.1,1372,380,7283,7,2,Basic_Phone,0,4G,0,0.3,8,Rejected,211,Buy_Social_Media_Package,Social_Boost_Pack,0
C1047,Colombo,46-60,10GB,48.8,14.2,7.9,327,179,5001,4,5,4G_Mobile,0,4G,0,0.94,2,Accepted,163,Upgrade_to_20GB,Data_Saver_Pack,0
C1048,Galle,26-35,50GB,91.8,36.4,13.4,1228,395,3863,24,4,5G_Mobile,1,4G,1,0.22,4,Accepted,340,Upgrade_to_100GB,10GB_Bonus,1
C1049,Colombo,36-45,20GB,74.0,35.5,17.8,84,137,9598,18,3,4G_Mobile,0,5G,1,0.94,3,Rejected,27,Buy_Social_Media_Package,Social_Boost_Pack,0
C1050,Jaffna,18-25,10GB,109.9,63.9,14.0,835,244,4524,23,4,5G_Mobile,1,5G,0,0.52,4,Ignored,50,Buy_Social_Media_Package,Social_Boost_Pack,0
C1051,Jaffna,26-35,20GB,67.8,37.1,21.9,569,13,2886,21,10,4G_Mobile,0,4G,0,0.72,0,Ignored,111,Buy_Social_Media_Package,Social_Boost_Pack,0
C1052,Matara,36-45,100GB,101.8,25.1,17.7,1837,32,11398,16,5,Basic_Phone,0,5G,1,0.29,4,Accepted,289,Offer_New_Phone,Smartphone_Trade_In_Deal,1
C1053,Galle,46-60,100GB,32.1,7.2,3.9,1457,196,11337,20,3,Basic_Phone,0,4G,0,0.3,7,Ignored,176,Offer_New_Phone,Smartphone_Trade_In_Deal,1
C1054,Negombo,18-25,50GB,9.9,3.3,3.5,1011,384,8433,22,9,5G_Mobile,1,4G,0,0.72,5,Ignored,123,Retention_Offer,20Percent_Loyalty_Discount,0
C1055,Galle,26-35,50GB,48.7,12.2,12.6,1618,472,3141,11,4,4G_Mobile,0,5G,0,0.55,3,Accepted,406,Upgrade_to_100GB,10GB_Bonus,0
C1056,Galle,18-25,20GB,23.2,11.6,4.4,980,152,3802,15,4,5G_Mobile,1,5G,0,0.88,5,Accepted,345,Upgrade_to_50GB,5GB_Bonus,0
C1057,Kurunegala,18-25,100GB,18.6,4.5,4.5,1237,136,8205,22,8,5G_Mobile,1,5G,0,0.43,3,Ignored,492,No_Action,No_Offer,1
C1058,Kurunegala,26-35,20GB,119.6,61.1,29.8,611,11,7721,15,4,5G_Mobile,1,5G,0,0.77,1,Rejected,319,Buy_Social_Media_Package,Social_Boost_Pack,1
C1059,Negombo,18-25,50GB,30.5,8.4,6.0,455,71,9662,7,10,5G_Mobile,1,4G,0,0.17,0,Accepted,226,Upgrade_to_5G_SIM,Free_SIM_Replacement,1
C1060,Kurunegala,26-35,100GB,119.9,42.7,26.2,368,102,659,8,2,Basic_Phone,0,5G,0,0.41,0,Ignored,209,Offer_Home_Router,Router_Bundle_Deal,0
C1061,Kandy,26-35,50GB,80.3,21.1,24.1,1787,249,8582,21,2,5G_Mobile,1,5G,1,0.45,1,Ignored,379,Buy_Social_Media_Package,Social_Unlimited_Add_On,1
C1062,Negombo,18-25,50GB,44.5,11.0,15.2,1919,146,4687,22,6,4G_Mobile,0,4G,0,0.3,4,Ignored,172,Upgrade_to_100GB,10GB_Bonus,1
C1063,Kandy,18-25,10GB,30.7,11.1,7.1,1221,279,11342,11,0,4G_Mobile,0,5G,0,0.25,1,Rejected,181,Upgrade_to_20GB,Data_Saver_Pack,1
C1064,Matara,18-25,50GB,84.9,22.3,17.0,801,90,3795,13,9,4G_Mobile,0,5G,0,0.16,0,Ignored,416,Offer_New_Phone,5G_Phone_Upgrade_Offer,1
C1065,Galle,18-25,20GB,33.2,13.0,8.8,612,358,11836,23,1,4G_Mobile,0,5G,0,0.54,0,Accepted,339,Upgrade_to_50GB,5GB_Bonus,0
C1066,Galle,36-45,100GB,55.4,29.2,6.5,853,150,9872,17,5,5G_Mobile,1,4G,0,0.68,4,Rejected,74,Retention_Offer,Service_Recovery_Pack,0
C1067,Jaffna,26-35,100GB,60.8,13.0,9.6,1609,254,2120,15,4,Basic_Phone,0,4G,0,0.49,1,Rejected,460,No_Action,No_Offer,0
C1068,Jaffna,26-35,100GB,38.9,13.3,7.4,1923,279,3241,25,2,4G_Mobile,0,4G,1,1.0,2,Rejected,406,Offer_Voice_Pack,Unlimited_Local_Voice,0
C1069,Colombo,26-35,50GB,43.7,22.8,7.4,116,235,1353,16,1,Basic_Phone,0,5G,1,0.68,5,Accepted,31,Upgrade_to_100GB,10GB_Bonus,1
C1070,Colombo,46-60,10GB,9.9,4.3,2.6,1043,449,7237,11,4,5G_Mobile,1,5G,1,0.13,5,Ignored,428,Upgrade_to_20GB,Data_Saver_Pack,1
C1071,Matara,36-45,20GB,20.4,5.4,7.4,1121,432,10167,22,6,5G_Mobile,1,4G,0,0.69,7,Rejected,216,Upgrade_to_50GB,5GB_Bonus,1
C1072,Kurunegala,36-45,50GB,44.5,11.6,11.9,1740,478,9686,9,10,5G_Mobile,1,4G,1,0.57,8,Ignored,15,Upgrade_to_100GB,10GB_Bonus,0
C1073,Kandy,18-25,100GB,65.0,28.3,20.0,219,135,4656,14,9,Basic_Phone,0,4G,0,0.67,7,Accepted,463,Retention_Offer,Service_Recovery_Pack,1
C1074,Matara,36-45,10GB,96.8,55.9,16.4,312,132,6091,17,1,5G_Mobile,1,4G,1,0.44,0,Rejected,233,Buy_Social_Media_Package,Social_Boost_Pack,0
C1075,Colombo,18-25,10GB,17.8,7.8,4.5,448,372,2413,21,9,5G_Mobile,1,5G,0,0.23,6,Accepted,62,Upgrade_to_20GB,Data_Saver_Pack,1
C1076,Colombo,46-60,10GB,64.4,22.3,16.0,1312,380,8551,12,10,Basic_Phone,0,4G,1,0.78,8,Ignored,134,Buy_Social_Media_Package,Social_Boost_Pack,0
C1077,Jaffna,46-60,100GB,16.1,7.5,2.6,1323,246,4773,13,5,4G_Mobile,0,4G,1,0.34,1,Rejected,6,No_Action,No_Offer,0
C1078,Galle,46-60,100GB,86.0,47.4,31.3,55,298,1500,23,4,5G_Mobile,1,4G,0,0.19,0,Ignored,10,Offer_Home_Router,Router_Bundle_Deal,0
C1079,Galle,36-45,20GB,44.0,11.4,13.0,69,201,7056,14,2,5G_Mobile,1,4G,0,0.44,8,Accepted,248,Buy_Social_Media_Package,Social_Boost_Pack,1
C1080,Jaffna,46-60,50GB,101.7,53.8,17.8,1184,84,11717,10,7,5G_Mobile,1,4G,1,0.17,7,Accepted,355,Upgrade_to_100GB,10GB_Bonus,0
C1081,Colombo,26-35,100GB,32.8,16.9,5.5,387,247,3458,14,4,4G_Mobile,0,5G,0,0.76,2,Accepted,199,Retention_Offer,20Percent_Loyalty_Discount,0
C1082,Kandy,26-35,20GB,112.3,36.2,24.2,1716,388,7362,12,5,Basic_Phone,0,4G,0,0.63,7,Ignored,52,Buy_Social_Media_Package,Social_Boost_Pack,0
C1083,Galle,46-60,10GB,115.5,48.2,27.2,602,278,9532,5,5,4G_Mobile,0,4G,0,0.3,6,Accepted,436,Buy_Social_Media_Package,Social_Boost_Pack,1
C1084,Matara,18-25,100GB,42.8,18.3,10.8,197,230,2551,19,3,5G_Mobile,1,4G,0,0.22,8,Rejected,228,Upgrade_to_5G_SIM,Free_SIM_Replacement,0
C1085,Galle,36-45,10GB,85.3,34.9,21.5,177,206,9665,3,10,Basic_Phone,0,4G,0,0.63,6,Accepted,255,Buy_Social_Media_Package,Social_Boost_Pack,0
C1086,Negombo,46-60,100GB,4.3,1.2,0.9,1944,305,6827,24,7,5G_Mobile,1,5G,0,0.88,8,Rejected,471,Offer_Voice_Pack,Unlimited_Local_Voice,0
C1087,Kandy,26-35,20GB,65.8,31.5,11.7,1795,428,7261,10,1,5G_Mobile,1,5G,1,0.25,5,Accepted,458,Upgrade_to_50GB,5GB_Bonus,1
C1088,Colombo,36-45,10GB,112.4,27.5,17.7,1351,478,4091,17,8,Basic_Phone,0,4G,1,0.85,3,Ignored,444,Buy_Social_Media_Package,Social_Boost_Pack,1
C1089,Kurunegala,26-35,100GB,109.9,60.5,42.8,502,145,2601,1,1,Basic_Phone,0,5G,1,0.69,6,Ignored,468,Retention_Offer,Service_Recovery_Pack,1
C1090,Galle,46-60,100GB,73.6,24.4,24.3,1077,362,1687,17,4,Basic_Phone,0,4G,0,0.17,2,Ignored,419,Offer_Home_Router,Router_Bundle_Deal,1
C1091,Galle,18-25,20GB,70.2,19.2,19.4,1332,88,7632,12,5,Basic_Phone,0,5G,0,0.91,4,Ignored,408,Buy_Social_Media_Package,Social_Boost_Pack,0
